국가 (IOC 코드),하계 참가 횟수,금,은,동,계
총합,28,5116,5082,5490,15688
미국 (USA) [P] [Q] [R] [Z] [F],27,1022,795,706,2523
소련 (URS) [URS],9,395,319,296,1010
영국 (GBR) [GBR] [Z],28,263,295,293,851
중화인민공화국 (CHN) [CHN],10,224,167,155,546
프랑스 (FRA) [O] [P] [Z],28,212,241,263,716
이탈리아 (ITA) [M] [S],27,206,178,193,577
독일 (GER) [GER] [Z],16,191,194,230,615
헝가리 (HUN),26,175,147,169,491
동독 (GDR) [GDR],5,153,129,127,409
러시아 (RUS) [RUS],6,148,125,153,426
오스트레일리아 (AUS) [AUS] [Z],26,147,163,187,497
스웨덴 (SWE) [Z],27,145,170,179,494
일본 (JPN),22,142,136,161,439
핀란드 (FIN),25,101,85,117,303
대한민국 (KOR),17,90,87,90,267
루마니아 (ROU),21,89,95,122,306
네덜란드 (NED) [Z],26,85,92,108,285
쿠바 (CUB) [Z],20,78,68,80,226
폴란드 (POL),21,68,83,133,284
캐나다 (CAN),26,64,102,136,302
노르웨이 (NOR) [Q],25,56,49,47,152
서독 (FRG) [FRG],5,56,67,81,204
불가리아 (BUL) [H],20,51,87,80,218
스위스 (SUI),28,50,75,67,192
체코슬로바키아 (TCH) [TCH],16,49,49,45,143
뉴질랜드 (NZL) [NZL],23,46,27,44,117
덴마크 (DEN) [Z],27,45,74,75,194
연합 (EUN) [EUN],1,45,38,29,112
스페인 (ESP) [Z],23,45,64,41,150
벨기에 (BEL),26,40,53,55,148
튀르키예 (TUR),22,39,24,28,91
우크라이나 (UKR),6,35,30,56,121
그리스 (GRE) [Z],28,33,43,40,116
케냐 (KEN),14,31,38,34,103
브라질 (BRA),22,30,36,63,129
유고슬라비아 (YUG) [YUG],18,28,31,31,90
독일 연합 (EUA) [EUA],3,28,54,36,118
남아프리카 공화국 (RSA),19,26,31,29,86
자메이카 (JAM) [JAM],17,22,35,21,78
에티오피아 (ETH),13,22,11,21,54
아르헨티나 (ARG),24,21,25,28,74
이란 (IRI) [K],16,19,22,28,69
오스트리아 (AUT),27,18,33,36,87
조선민주주의인민공화국 (PRK),10,16,16,22,54
체코 (CZE) [CZE],6,15,17,24,56
카자흐스탄 (KAZ),6,15,21,28,64
멕시코 (MEX),23,13,24,32,69
벨라루스 (BLR),6,12,27,39,78
크로아티아 (CRO),7,11,10,12,33
태국 (THA),16,9,8,16,33
인도 (IND) [F],24,9,7,12,28
에스토니아 (EST),12,9,9,16,34
아일랜드 (IRL),21,9,10,12,31
슬로바키아 (SVK) [SVK],6,9,12,7,28
조지아 (GEO),6,8,7,17,32
우즈베키스탄 (UZB),6,8,6,17,31
혼성 (ZZX) [ZZX],3,8,5,4,17
아제르바이잔 (AZE),6,7,11,24,42
이집트 (EGY) [EGY] [Z],22,7,10,15,32
인도네시아 (INA),15,7,13,12,32
모로코 (MAR),14,6,5,12,23
리투아니아 (LTU),9,6,7,13,26
바하마 (BAH),16,6,2,6,14
알제리 (ALG),13,5,4,8,17
슬로베니아 (SLO),7,5,8,10,23
콜롬비아 (COL),19,5,9,14,28
중화 타이베이 (TPE) [TPE] [TPE2],14,5,7,12,24
포르투갈 (POR),24,4,8,12,24
튀니지 (TUN),14,4,2,7,13
트리니다드 토바고 (TRI) [TRI],17,3,5,11,19
도미니카 공화국 (DOM),14,3,2,2,7
파키스탄 (PAK),17,3,3,4,10
짐바브웨 (ZIM) [ZIM],13,3,4,1,8
나이지리아 (NGR),16,3,10,12,25
라트비아 (LAT),11,3,11,5,19
오스트랄라시아 (ANZ) [ANZ],2,3,4,5,12
카메룬 (CMR),14,3,1,2,6
세르비아 (SRB) [SRB],4,3,6,6,15
우간다 (UGA),15,2,3,2,7
우루과이 (URU),21,2,2,6,10
칠레 (CHI) [I],23,2,7,4,13
몽골 (MGL),13,2,10,14,26
베네수엘라 (VEN),18,2,3,10,15
바레인 (BRN),9,2,1,0,3
아르메니아 (ARM),6,2,6,6,14
러시아 제국 (RU1) [RU1],3,1,4,3,8
아랍에미리트 (UAE),9,1,0,1,2
에콰도르 (ECU),14,1,1,0,2
푸에르토리코 (PUR),18,1,2,6,9
부룬디 (BDI),6,1,1,0,2
타지키스탄 (TJK),6,1,1,2,4
피지 (FIJ),14,1,0,0,1
수리남 (SUR) [E],12,1,0,1,2
싱가포르 (SIN),16,1,2,2,5
홍콩 (HKG) [HKG],16,1,1,1,3
시리아 (SYR),13,1,1,1,3
그레나다 (GRN),9,1,1,0,2
페루 (PER) [L],18,1,3,0,4
독립 (IOA) [IOA],3,1,0,1,2
코스타리카 (CRC),15,1,1,2,4
코트디부아르 (CIV) [CIV],13,1,1,1,3
파나마 (PAN),17,1,0,2,3
룩셈부르크 (LUX) [O],23,1,1,0,2
베트남 (VIE),15,1,3,0,4
모잠비크 (MOZ),10,1,0,1,2
코소보 (KOS),1,1,0,0,1
요르단 (JOR),10,1,0,0,1
이스라엘 (ISR),16,1,1,7,9
보츠와나 (BOT),10,0,1,0,1
탄자니아 (TAN) [TAN],13,0,2,0,2
러시아 출신 올림픽 선수 (OAR),0,0,0,0,0
독립 참가 (IOP) [IOP],1,0,1,2,3
잠비아 (ZAM) [ZAM],13,0,1,1,2
토고 (TOG),10,0,0,1,1
미국령 버진아일랜드 (ISV),12,0,1,0,1
통가 (TGA),9,0,1,0,1
바베이도스 (BAR) [BAR],12,0,0,1,1
서인도 연방 (BWI) [BWI],1,0,0,2,2
키르기스스탄 (KGZ),6,0,1,3,4
버뮤다 (BER),18,0,0,1,1
에리트레아 (ERI),5,0,0,1,1
수단 (SUD),12,0,1,0,1
스리랑카 (SRI) [SRI],17,0,2,0,2
리히텐슈타인 (LIE),17,0,0,0,0
쿠웨이트 (KUW),12,0,0,2,2
북마케도니아 (MKD),6,0,0,1,1
말레이시아 (MAS) [MAS],13,0,7,4,11
몰도바 (MDA),6,0,2,3,5
모리셔스 (MRI),9,0,0,1,1
아이티 (HAI) [J],15,0,1,1,2
보헤미아 (BOH) [BOH] [Z],3,0,1,3,4
나미비아 (NAM),7,0,4,0,4
카타르 (QAT),9,0,1,4,5
네덜란드령 안틸레스 (AHO) [AHO] [I],13,0,1,0,1
이라크 (IRQ),14,0,0,1,1
니제르 (NIG),12,0,1,1,2
아이슬란드 (ISL),20,0,2,2,4
파라과이 (PAR),12,0,1,0,1
필리핀 (PHI),21,0,3,7,10
가이아나 (GUY) [GUY],17,0,0,1,1
과테말라 (GUA),14,0,1,0,1
가봉 (GAB),10,0,1,0,1
가나 (GHA) [GHA],14,0,1,3,4
사모아 (SAM),9,0,1,0,1
사우디아라비아 (KSA),11,0,1,2,3
세네갈 (SEN),14,0,1,0,1
레바논 (LIB),17,0,2,2,4
세르비아 몬테네그로 (SCG) [SCG],1,0,2,0,2
지부티 (DJI) [B],8,0,0,1,1
키프로스 (CYP),10,0,1,0,1
몬테네그로 (MNE),3,0,1,0,1
아프가니스탄 (AFG),14,0,0,2,2
