국가 (IOC 코드),하계 참가 횟수,금,은,동,계
총합,23,1062,1058,1050,3170
노르웨이 (NOR) [Q],23,132,125,111,368
미국 (USA) [P] [Q] [R] [Z] [F],23,105,112,88,305
캐나다 (CAN),23,73,64,62,199
오스트리아 (AUT),23,64,81,87,232
스웨덴 (SWE) [Z],23,57,46,55,158
스위스 (SUI),23,56,45,52,153
핀란드 (FIN),23,43,63,61,167
이탈리아 (ITA) [M] [S],23,40,36,48,124
프랑스 (FRA) [O] [P] [Z],23,36,35,53,124
영국 (GBR) [GBR] [Z],23,11,4,17,32
폴란드 (POL),23,7,7,8,22
헝가리 (HUN),23,1,2,4,7
네덜란드 (NED) [Z],21,45,44,41,130
일본 (JPN),21,14,22,22,58
벨기에 (BEL),21,1,2,3,6
루마니아 (ROU),21,0,0,1,1
불가리아 (BUL) [H],20,1,2,3,6
스페인 (ESP) [Z],20,1,0,3,4
오스트레일리아 (AUS) [AUS] [Z],19,5,5,5,15
리히텐슈타인 (LIE),19,2,2,6,10
아르헨티나 (ARG),19,0,0,0,0
그리스 (GRE) [Z],19,0,0,0,0
대한민국 (KOR),18,31,25,14,70
아이슬란드 (ISL),18,0,0,0,0
칠레 (CHI) [I],17,0,0,0,0
레바논 (LIB),17,0,0,0,0
튀르키예 (TUR),17,0,0,0,0
체코슬로바키아 (TCH) [TCH],16,2,8,15,25
뉴질랜드 (NZL) [NZL],16,0,1,2,3
유고슬라비아 (YUG) [YUG],16,0,3,1,4
덴마크 (DEN) [Z],14,0,1,0,1
몽골 (MGL),14,0,0,0,0
독일 (GER) [GER] [Z],12,92,88,60,240
중화 타이베이 (TPE) [TPE] [TPE2],12,0,0,0,0
중화인민공화국 (CHN) [CHN],11,13,28,21,62
라트비아 (LAT),11,1,3,5,9
키프로스 (CYP),11,0,0,0,0
이란 (IRI) [K],11,0,0,0,0
에스토니아 (EST),10,4,2,1,7
인도 (IND) [F],10,0,0,0,0
소련 (URS) [URS],9,78,57,59,194
조선민주주의인민공화국 (PRK),9,0,1,1,2
리투아니아 (LTU),9,0,0,0,0
룩셈부르크 (LUX) [O],9,0,2,0,2
멕시코 (MEX),9,0,0,0,0
크로아티아 (CRO),8,4,6,1,11
슬로베니아 (SLO),8,2,5,10,17
버뮤다 (BER),8,0,0,0,0
브라질 (BRA),8,0,0,0,0
자메이카 (JAM) [JAM],8,0,0,0,0
포르투갈 (POR),8,0,0,0,0
체코 (CZE) [CZE],7,9,11,11,31
벨라루스 (BLR),7,8,5,5,18
슬로바키아 (SVK) [SVK],7,3,4,1,8
우크라이나 (UKR),7,3,1,4,8
카자흐스탄 (KAZ),7,1,3,4,8
우즈베키스탄 (UZB),7,1,0,0,1
아르메니아 (ARM),7,0,0,0,0
조지아 (GEO),7,0,0,0,0
아일랜드 (IRL),7,0,0,0,0
이스라엘 (ISR),7,0,0,0,0
키르기스스탄 (KGZ),7,0,0,0,0
몰도바 (MDA),7,0,0,0,0
모로코 (MAR),7,0,0,0,0
푸에르토리코 (PUR),7,0,0,0,0
남아프리카 공화국 (RSA),7,0,0,0,0
미국령 버진아일랜드 (ISV),7,0,0,0,0
러시아 (RUS) [RUS],6,47,38,35,120
동독 (GDR) [GDR],6,39,36,35,110
서독 (FRG) [FRG],6,11,15,13,39
아제르바이잔 (AZE),6,0,0,0,0
코스타리카 (CRC),6,0,0,0,0
북마케도니아 (MKD),6,0,0,0,0
홍콩 (HKG) [HKG],5,0,0,0,0
필리핀 (PHI),5,0,0,0,0
세네갈 (SEN),5,0,0,0,0
케냐 (KEN),4,0,0,0,0
타지키스탄 (TJK),4,0,0,0,0
태국 (THA),4,0,0,0,0
베네수엘라 (VEN),4,0,0,0,0
독일 연합 (EUA) [EUA],3,8,6,5,19
알제리 (ALG),3,0,0,0,0
피지 (FIJ),3,0,0,0,0
몬테네그로 (MNE),3,0,0,0,0
파키스탄 (PAK),3,0,0,0,0
세르비아 (SRB) [SRB],3,0,0,0,0
트리니다드 토바고 (TRI) [TRI],3,0,0,0,0
콜롬비아 (COL),2,0,0,0,0
에티오피아 (ETH),2,0,0,0,0
가나 (GHA) [GHA],2,0,0,0,0
네덜란드령 안틸레스 (AHO) [AHO] [I],2,0,0,0,0
페루 (PER) [L],2,0,0,0,0
토고 (TOG),2,0,0,0,0
통가 (TGA),2,0,0,0,0
연합 (EUN) [EUN],1,9,6,8,23
러시아 출신 올림픽 선수 (OAR),1,2,6,9,17
카메룬 (CMR),1,0,0,0,0
에콰도르 (ECU),1,0,0,0,0
이집트 (EGY) [EGY] [Z],1,0,0,0,0
에리트레아 (ERI),1,0,0,0,0
과테말라 (GUA),1,0,0,0,0
코소보 (KOS),1,0,0,0,0
말레이시아 (MAS) [MAS],1,0,0,0,0
나이지리아 (NGR),1,0,0,0,0
파라과이 (PAR),1,0,0,0,0
세르비아 몬테네그로 (SCG) [SCG],1,0,0,0,0
싱가포르 (SIN),1,0,0,0,0
우루과이 (URU),1,0,0,0,0
짐바브웨 (ZIM) [ZIM],1,0,0,0,0
아프가니스탄 (AFG),0,0,0,0,0
오스트랄라시아 (ANZ) [ANZ],0,0,0,0,0
바하마 (BAH),0,0,0,0,0
바레인 (BRN),0,0,0,0,0
바베이도스 (BAR) [BAR],0,0,0,0,0
보헤미아 (BOH) [BOH] [Z],0,0,0,0,0
보츠와나 (BOT),0,0,0,0,0
서인도 연방 (BWI) [BWI],0,0,0,0,0
부룬디 (BDI),0,0,0,0,0
코트디부아르 (CIV) [CIV],0,0,0,0,0
쿠바 (CUB) [Z],0,0,0,0,0
지부티 (DJI) [B],0,0,0,0,0
도미니카 공화국 (DOM),0,0,0,0,0
가봉 (GAB),0,0,0,0,0
그레나다 (GRN),0,0,0,0,0
가이아나 (GUY) [GUY],0,0,0,0,0
아이티 (HAI) [J],0,0,0,0,0
인도네시아 (INA),0,0,0,0,0
이라크 (IRQ),0,0,0,0,0
요르단 (JOR),0,0,0,0,0
쿠웨이트 (KUW),0,0,0,0,0
모리셔스 (MRI),0,0,0,0,0
모잠비크 (MOZ),0,0,0,0,0
나미비아 (NAM),0,0,0,0,0
니제르 (NIG),0,0,0,0,0
파나마 (PAN),0,0,0,0,0
카타르 (QAT),0,0,0,0,0
러시아 제국 (RU1) [RU1],0,0,0,0,0
사모아 (SAM),0,0,0,0,0
사우디아라비아 (KSA),0,0,0,0,0
스리랑카 (SRI) [SRI],0,0,0,0,0
수단 (SUD),0,0,0,0,0
수리남 (SUR) [E],0,0,0,0,0
시리아 (SYR),0,0,0,0,0
탄자니아 (TAN) [TAN],0,0,0,0,0
